AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDC,WLTW,WYNN,XEL,XLNX
5.317062,26.666212,36.950001,22.572193,29.115486,26.17,17.34,23.815001,11.333198,9.01,46.814899,127.610001,23.544882,9.778279,14.541237,44.084,55.23,208.699997,20.99,6.22,21.994198,34.52,32,6.936029,45.662544,19.056072,13.742421,22.594872,23.315731,34.2673,16.553333,17.17,9.599865,29.967888,8.598545,12.165,20.083086,292.71283,294.104095,24.222145,22.011765,29.674999,38.09,10.02,15.375612,28.918024,103.603333,30.478006,20.34239,12.089933,11.765,33.597488,15.835,24.401854,20.388762,15.445692,42.06419,6.826667,24.412111,10.28,13.325101,18.74,7.314286,28.475595,32.102863,16.042219,38.610001,21.165178,27.100212,45.745155,37.346947,25.98,10.299173,10.010924,0.640235,21.98,13.65756,10.408185,9.95,19.046806,13.26,19.986362,27.706316,20.634371,41.68,29.017624,35.300652,57.145569,46.792576,14.763047,18.862774
5.411335,26.255753,36.490002,22.158594,28.728725,26.120001,17.68,23.465,11.195289,8.87,46.53019,125.779999,23.868401,9.760238,14.663708,43.966999,54.720001,206.309998,21.08,6.18,21.474705,33.669998,31.75,6.816373,45.135822,18.718658,12.882674,22.247391,22.760708,33.479282,16.446667,17.209999,9.174765,29.269743,8.491115,11.9975,19.983274,289.121307,290.495483,24.169697,21.847059,29.535,37.689999,9.81,15.397528,28.45323,102.996666,30.40608,20.094461,12.447624,12.105,33.561207,15.765,23.814552,20.197802,15.114829,40.736668,6.8,24.011782,9.98,13.346299,18.219999,7.32,27.791496,31.222612,15.977784,37.950001,21.179094,26.599268,45.466259,36.612419,25.57,10.182187,9.887807,0.69757,21.98,13.519697,10.147981,9.73,18.915821,13.55,19.877583,27.74597,20.388119,40.740002,29.183483,34.751041,57.793034,44.719318,14.722037,18.910166
5.147368,25.801886,35.82,22.25816,28.59981,25.690001,16.85,23.415001,11.016813,8.99,46.066517,126.620003,23.84683,9.552768,14.688199,43.997002,53.209999,208.039993,20.58,6.12,21.098696,33.200001,31.6,6.601813,44.554867,18.388916,12.341248,21.840578,22.586962,33.401257,16.436666,17.379999,9.958932,29.282915,8.347227,11.675,19.866104,290.401489,291.781769,24.049826,21.799999,29.18,37.540001,9.41,15.222226,28.106907,101.496666,29.59692,19.864668,12.263669,11.985,33.098602,15.745,23.26862,19.999491,14.831224,40.087429,6.755,23.556511,9.8,13.240314,17.940001,7.312857,27.17581,30.851536,15.692469,37.84,21.026072,26.168871,44.724998,36.415539,26.139999,9.995461,10.053382,0.668902,22.219999,13.326692,9.74141,9.37,18.630737,13.13,19.778688,27.795532,20.405102,39.849998,28.788576,35.559742,57.333527,42.888824,14.605844,19.944937
4.939965,24.52215,34.380001,21.26244,27.934855,25.1,16.530001,23.1,10.246119,7.88,46.042103,121.43,22.811575,9.354315,14.337128,41.689999,53.060001,204.199997,19.940001,5.97,20.655895,33.040001,31.5,6.539921,44.206306,17.614408,12.003877,21.399872,21.80028,32.301144,16.073334,16.77,9.731936,28.676973,8.163055,11.45,19.996294,273.978058,275.280273,23.442957,21.4,28.594999,36.5,9.47,14.542924,27.432484,113.449997,28.97657,18.661304,12.028615,11.765,31.103067,15.02,22.706135,19.25034,14.636908,39.593254,6.605,22.732307,9.13,12.682161,17.780001,7.27,26.320684,28.901203,15.149442,37.860001,20.615702,25.512718,44.32135,35.423561,25.969999,9.860476,9.726475,0.659347,21.889999,12.692525,9.562521,9.29,17.806305,13.21,19.828135,27.765795,19.819187,40.139999,28.425266,31.987293,56.331001,41.957169,14.243605,18.831175
4.92111,25.181866,34.16,21.453928,28.002707,24.75,16.700001,23.094999,10.254232,8.07,45.318123,120.309998,23.221361,9.128798,14.410605,41.515999,52.669998,202.839996,19.83,5.95,20.50252,32.990002,31.25,6.60594,44.578117,17.629738,12.2297,21.365971,21.853365,32.106091,16.266666,16.83,9.777334,28.624283,8.180323,11.52,19.83573,268.99176,270.270264,23.540354,21.529411,28.375,36.450001,9.79,14.842403,27.669443,112.83667,29.129414,18.721771,13.004599,12.535,31.647299,14.53,22.75577,19.419266,14.542377,38.449829,6.576667,23.014898,9.33,12.802273,17.68,7.018571,26.44895,29.220503,15.407149,38.580002,20.518333,25.477432,44.20393,35.522015,26.15,9.977462,9.509953,0.649791,21.74,12.821197,9.529995,9.12,18.253191,12.88,19.521564,27.706316,19.870136,39.52,28.962324,32.576164,56.435452,41.720959,14.209433,19.257725
4.760843,25.53776,33.939999,21.139894,27.860216,24.379999,16.459999,22.75,10.262345,8.09,46.025852,119.480003,23.27169,9.029573,14.500422,41.938,53,204.440002,20.17,5.93,20.418411,32.98,30.75,6.478029,44.872471,17.560724,12.324922,21.204941,21.993328,32.831696,16.363333,16.74,9.934168,29.20388,8.086316,11.3825,19.47121,270.197235,271.481476,23.435461,21.384314,28.459999,36.279999,10.29,14.608661,27.368683,111.816666,29.120419,18.546402,12.984159,12.575,31.74708,14.51,22.449701,19.411922,14.579136,37.500214,6.538333,23.156181,9.44,12.682161,18.09,7.135714,26.431849,28.36615,14.919349,38.459999,20.427914,25.174055,44.218605,35.506859,26.280001,10.168688,9.569393,0.678458,21.459999,12.288129,9.351105,9.2,17.99122,12.79,19.74902,28.102829,19.972034,39.02,28.567429,32.081505,55.892387,41.235458,14.216261,19.13134
4.581724,25.77833,33.139999,21.216486,27.833084,24.469999,16.690001,22.870001,10.578736,8.19,46.969471,122.75,23.408285,9.345293,14.214656,42.436001,53.580002,207.520004,20.280001,5.99,20.406044,33.169998,30.75,6.539921,44.562622,17.752438,12.390223,21.374443,22.244297,32.75367,16.303333,17.129999,9.892897,29.138018,8.105501,11.5025,20.846828,270.037842,271.32132,23.592796,21.145098,28.35,37.040001,10.06,14.783972,27.350456,113.07,29.516018,18.655256,12.994379,12.645,32.236893,14.535,22.234631,19.566158,14.888995,38.401379,6.578333,23.289631,9.72,13.000097,18.25,7.281428,26.44895,28.78038,15.324314,38.27,20.434868,25.336321,44.247967,35.7416,27.030001,10.350915,9.514198,0.707125,21.530001,12.462754,9.253528,9.33,18.12991,12.83,19.689684,28.648033,20.048458,39,28.986023,31.908777,55.599979,41.176407,14.311953,19.336716
4.84569,24.713123,32.889999,20.795218,27.602377,23.790001,18.030001,22.9,10.229897,7.88,47.24604,126.029999,22.948172,9.246068,14.467759,41.785,53.27,201.679993,19.49,5.84,19.856867,33.549999,30.75,6.445021,44.423199,17.269318,11.884166,21.154087,21.50588,33.323235,16.366667,16.77,9.628756,28.558422,7.959697,11.355,20.616835,266.1474,267.412415,23.630259,20.913725,28.985001,36.299999,10.37,14.550229,27.031479,111.669998,27.83478,17.766329,12.902402,12.475,30.277647,14.175,22.06093,19.38254,14.726192,37.161064,6.486667,22.889299,9.4,12.802273,17.93,9.005714,25.499763,28.253963,14.808907,37.73,20.294277,24.856544,43.844311,30.652967,26.389999,10.355415,9.374098,0.783571,21.139999,12.168647,8.993323,9.28,17.851112,12.63,19.076546,28.519167,19.598408,38.650002,28.749083,30.997988,54.680958,40.526875,14.257277,18.965462
5.005957,23.816572,32.299999,20.649689,27.677023,23.790001,18.75,23.184999,9.881056,7.46,47.57143,125.410004,22.46649,9.164882,14.19016,41.171001,53.740002,195.350006,19.43,5.81,18.716465,31.98,30.629999,6.531669,44.485161,17.230976,11.661065,21.281219,21.071514,32.418179,16.506666,16.280001,9.500813,28.202759,7.95778,11.26,20.946634,263.98053,265.235229,23.034599,21.196079,26.245001,36.689999,10.68,14.170401,26.985907,109.353333,27.565056,17.052778,12.96883,12.53,29.942032,14.12,21.696968,18.956558,14.526623,36.850971,6.408333,22.120043,8.72,12.350093,18.23,8.892858,24.909729,28.305737,14.164638,37.799999,20.37863,25.421001,43.756241,29.676128,26.66,10.332916,9.250981,0.802683,21.27,11.663151,9.155951,9.28,17.425158,12.23,19.185328,27.874836,19.454052,38.400002,28.472649,29.828108,54.785397,40.599049,14.202594,18.625803
5.279352,24.147655,32.48,21.078615,27.867012,23.809999,18.58,23.674999,10.156888,7.98,47.766666,118.870003,22.976929,9.092717,14.288135,42.568001,53.91,204.199997,20.24,5.91,19.218637,32.049999,30.5,6.577056,44.856976,17.430363,11.924975,21.374443,21.568615,33.011143,16.656666,16.74,9.562721,29.11167,7.967371,11.45,20.747025,265.514771,266.776764,23.517168,21.513725,24.965,37.240002,10.63,14.323798,27.259325,109.550003,27.753862,17.651432,13.290751,12.8,30.495346,14.175,21.969942,19.470676,14.736693,37.296726,6.538333,22.300581,9.17,12.646835,18.120001,8.718572,25.747755,28.469709,15.250686,38.240002,20.610609,25.477432,44.54887,30.115339,26.51,10.461151,9.437779,0.840906,21.360001,12.168647,9.643834,9.34,17.851112,12.75,19.571012,28.162304,19.691814,39.34,28.733288,31.170708,55.140465,43.000351,14.250442,18.941763
