series1,series2,log,i1test,urtest,alpha,alpha.se,beta,beta.se,rho,rho.raw,rho.se,s1.i1.stat,s1.i1.p,s2.i1.stat,s2.i1.p,r.stat,r.p,eps.ljungbox.stat,eps.ljungbox.p,s1.dsd,s2.dsd,residuals.sd,eps.sd,is.cointegrated
A,ALL,FALSE,pp,pp,5.32462075212294,0.635039579979112,1.3324988054502,0.0112501541261151,0.988982661045223,0.983768884984257,0.00483046546786301,-5.99914868606523,0.775100574132074,-7.07338911516069,0.715177378301109,-21.0293754680977,0.0478451193272998,2.37262710901726,0.123479096389224,0.578186173236103,0.662336131082904,4.52403664685381,0.793972228937179,TRUE
AAPL,ALL,FALSE,pp,pp,15.2908324325849,0.552920536014361,0.456045428153804,0.00352609043805573,0.983978566712285,0.978783001075899,0.00529938434049362,-9.10018066297438,0.602119050259546,-7.07338911516069,0.715177378301109,-25.6894969777274,0.0195887054414941,1.51206065773827,0.218824917363346,1.52255902318702,0.662336131082904,4.17205116683636,0.803169281714636,TRUE
ADI,ALL,FALSE,pp,pp,7.17440985025951,0.639766136326489,0.988313372704585,0.00784467834391634,0.981400381075948,0.976214197727736,0.00583279327818898,-12.2691813992255,0.425346098354596,-7.07338911516069,0.715177378301109,-27.4358688813922,0.0138929294838552,3.806499620657,0.0510540393094931,0.863863188766858,0.662336131082904,4.27456505405507,0.905649073764731,TRUE
ADSK,ALL,FALSE,pp,pp,24.1742794690725,0.594398241612549,0.582096015173655,0.00504397619740676,0.982570159618438,0.977379719323313,0.00568773365598859,-8.06901770893302,0.659639301736849,-7.07338911516069,0.715177378301109,-30.3523721449889,0.00907613607453075,0.585284580100167,0.44424835720918,1.43518273521945,0.662336131082904,4.63255073482365,0.956593619262817,TRUE
ADS,ALXN,FALSE,pp,pp,-6.93431951572279,3.53164159989547,0.646564742241607,0.0133141217313127,0.986058035044788,0.980854902004849,0.00536293744482662,-9.13461114349088,0.600198451880763,-8.42270896699597,0.639909723565552,-22.1265569960863,0.0394932740410699,1.75813543709164,0.184857254628856,3.84718528086347,3.3838524502397,17.6668538383788,3.44123950133903,TRUE
A,AMAT,FALSE,pp,pp,-22.1925609554355,0.414638557490713,1.10054897116157,0.00649746239115262,0.978998841571905,0.973821397678048,0.00632538551956811,-5.99914868606523,0.775100574132074,-3.5638998247222,0.908837048956558,-31.461433904423,0.00848041728192013,1.558087082849,0.211945528054009,0.578186173236103,0.537600808767161,2.61283157898206,0.599925494282873,TRUE
ADSK,AMAT,FALSE,pp,pp,-6.7145934697354,0.369236843292965,0.482157167634378,0.00280771885080393,0.975328573771907,0.970164486367859,0.00667510500958188,-8.06901770893302,0.659639301736849,-3.5638998247222,0.908837048956558,-36.6131460436355,0.0057132388905064,0.168162913272311,0.681749672146928,1.43518273521945,0.537600808767161,2.57869972347553,0.625286570840295,TRUE
AJG,AMAT,FALSE,pp,pp,-36.8167468110207,0.522440583046353,1.41644347493078,0.00915482013583477,0.976493590538079,0.971325263515722,0.00637076132293255,-3.75022461521679,0.900444040375721,-3.5638998247222,0.908837048956558,-39.8218546494749,0.00398972079040945,1.49737700288971,0.221075394355353,0.434027354795577,0.537600808767161,2.84801815439214,0.658815751356337,TRUE
A,AMCR,FALSE,pp,pp,4.72088180642871,0.0925393919349347,0.0933854713049465,0.00156708590409397,0.986272680623161,0.98106876646543,0.00538789694143309,-5.99914868606523,0.775100574132074,-20.9304745811488,0.0584096518128911,-22.3394483211248,0.0378727259693554,2.22919866967494,0.135424067056524,0.578186173236103,0.107965053041587,0.630173949566799,0.1232341666328,TRUE
ACN,AMCR,FALSE,pp,pp,4.83658584030061,0.0873194456314672,0.0410878004281225,0.000655618211061257,0.986482202284942,0.981277525655889,0.00540032302740571,-14.7868982747819,0.284903011970358,-20.9304745811488,0.0584096518128911,-22.226553889581,0.0387320886198184,1.80619249703995,0.178965651441817,1.16819428872786,0.107965053041587,0.607144691037227,0.118972352823118,TRUE
ADI,AMCR,FALSE,pp,pp,4.8342139996168,0.0905851314539206,0.0695570950575435,0.00112707246189782,0.984229466506875,0.979032987819798,0.00566863238761489,-12.2691813992255,0.425346098354596,-20.9304745811488,0.0584096518128911,-25.122784050148,0.0214370344606546,0.340575317790693,0.559497325707021,0.863863188766858,0.107965053041587,0.614141759266964,0.126325111035924,TRUE
ADSK,AMCR,FALSE,pp,pp,6.04056756491745,0.0787585837697139,0.040815776256178,0.000689412412303529,0.986334852411624,0.981130712004228,0.00542214193762156,-8.06901770893302,0.659639301736849,-20.9304745811488,0.0584096518128911,-23.762119563519,0.0270432234608433,0.37944486066215,0.537900487334042,1.43518273521945,0.107965053041587,0.633178637689694,0.124519743757964,TRUE
AEE,AMCR,FALSE,pp,pp,4.15701924204064,0.0867601957769817,0.115898979493099,0.00156252654714204,0.979917875602873,0.974737087247703,0.00616780647404074,-19.4133062624331,0.0807155505196797,-20.9304745811488,0.0584096518128911,-31.7788105291533,0.00830994235743652,0.758522578394937,0.383791273765043,0.427141377933245,0.107965053041587,0.532479409940921,0.119261396412162,TRUE
AFL,AMCR,FALSE,pp,pp,3.67822734956134,0.0945496146561636,0.176988251449681,0.00249951709905409,0.982182054117913,0.976993026179446,0.00604902428131253,-7.98231116797641,0.664475959241858,-20.9304745811488,0.0584096518128911,-26.6476720407887,0.0164636262553591,1.80048623292059,0.179653722804104,0.297041810367324,0.107965053041587,0.5526129645136,0.121194799229681,TRUE
AIV,AMCR,FALSE,pp,pp,3.55916812627,0.103669162513682,0.159013387120706,0.00251583107114185,0.983654193831321,0.9784598086219,0.00566063187681154,-20.3776461318783,0.0665375142521076,-20.9304745811488,0.0584096518128911,-25.4271549647035,0.020444331512507,1.43293491515142,0.231286055395275,0.389242675776363,0.107965053041587,0.603285965146848,0.124058492114865,TRUE
